French,AI_is_good
Le premier pillier de la TPM est de former les agents à la maintenance en autonomie de leurs machines (maintenance autonome). Cela permet aussi de réduire le travail des équipes de maintenance. ,1
"L'absence de 5S entraine temps de recherche, accidents, déplacements inutiles. ",1
Le système informatique d'une entreprise ne peut pas faire l'objet d'un 5S. ,1
"Chaque matin, on fait une ...",0
réunion où chacun dit ce qui va bien,1
Les lieux d'affichage,1
Quel est le nombre de Kanban à mettre en circulation pour un délai de réapprovisionnement relativement stable avec les données de base suivantes ?,1
Quelles entités ne se servent pas du Kanban de production ? ,1
La méthode KANBAN est particulièrement adaptée à la production de pièces variées en petites quantités,1
La méthode KANBAN permet d'avoir une vision long terme de la demande clients,1
"La méthode Kanban n'est pas adaptée à toutes les industries. Elle est plus appropriée pour la production de pièces uniques en grande série (l'industrie automobile par exemple).
Bien que la méthode Kanban ait été conçue pour visualiser les besoins de production face à une demande en constante évolution, le système ne fonctionne plus lorsque la demande est trop irrégulière.
",1
Quels sont les éléments susceptibles d'être présents dans un Kanban (services - agile) ?,1
Une colonne en-cours,0
Seulement les opérateurs (manufacturing) / employés d'un service (office),0
Repérer les croisements de flux et réimplanter les postes,1
Sélectionne les gaspillages :,1
Un goulot ,0
Standardiser les processus,1
Déplacements inutiles ,0
"Situer, Standardiser, Soutenir, Supprimer, Suivre",0
"Supprimer, Situer, (faire) Scintiller, Standardiser, Suivre ",0
Valeur Simplifiée des Machines,1
Identifier les problèmes de stockage uniquement,1
"Supprimer, Situer, (faire) Simple, Standardiser, Simplifier",0
"DMAIC signifie : Define, Measure, Analyse, Improve, Control et a été traduit en français par Définir, Mesurer, Analyser, Innover (pour Améliorer), Contrôler",0
Au suivi du planning,0
"En anglais DMAIC signifie : Define, Measure, Analyse, Improve, Control",0
Sélectionne les gaspillages :,0
Tchaikovski,0
Définir quelle démarche projet appliquer,1
"On associe à Innover la notion d'améliorer. D'ailleurs, en anglais, le I signifie : improve = améliorer",0
Traduire les attentes clients en exigences mesurables,1
Mettre en place des indicateurs tous azimuts,1
Une démarche Lean s'appuie sur quel principe ?,1
"Déplacements inutiles, Attentes, Mouvements inutiles, Non Qualité, En-cours/Stocks inutiles, Surproduction, Surprocessing",0
Le Ratio de Tension des Flux (en Anglais : PCE = Process Cycle Efficiency) est :,0
Manager les flux de production de manière visuelle,1
Une démarche Lean s'appuie sur quel(s) principe(s) ?,1
L'interview des conducteurs,1
Le PDG de l'entreprise ,1
Réimplanter tous les postes de l'usine ,0
Attentes ,0
"Il sont au nombre de 7 (DAMNESS) : 1-Défauts, 2-Attentes, 3-Mouvements inutiles, 4-Non Qualité, 5-En-cours excessifs, 6-Surproduction et 7-Surprocessing",0
Quand dit-on d'une chaine de production qu'elle intégre du Mix produit ?,1
"Nettoyer, Trier, Ranger, Ranger, Standardiser",0
"(0,9+0,99+0,87)x100%",1
Mesurer/Analyser,1
Flow chart,1
Intitulés des inputs (X),0
La droite de Henry ,0
Les entreprises produisent généralement sur stock dans lequel des cas suivants ?,0
Evaluer les besoins des clients ,1
Le calcul des besoins nets,0
Réaliser le calcul des besoins nets,0
Prévisions et vérification des charges globales,0
La post-déduction,0
Le stock en transit,0
La GPA (gestion partagée des approvisionnements) ,0
Coût de lancement et de gestion des ordres ,0
Coût des risques,0
La gestion des stocks d’en-cours,0
L’air,0
Programmer des heures supplémentaires ,1
Le compte de résultats,0
L'engagement sur les commandes,1
Le stock de manquants,0
Une réduction des coûts de transport,0
Le respect des livraisons,0
La baisse des frais généraux,0
Le calcul des besoins nets,0
De l'obsolescence des produits,0
A la date de péremption des produits,0
"Créer des files d'attente, d'encours de production, entre les postes de travail",0
L'alerte de synchronisation des matières et composants indique des ruptures potentielles pour le lancement des ordres,0
L'histoire est un éternel recommencement,0
Ne tiennent pas compte du stock physique,0
les stocks de produits finis de la demande client,0
Valoriser les stocks et encours,0
aux commandes en attente de saisie,0
AIC signifie : ,0
aux pots de départ,0
En quoi consiste avant tout le QQOQC ? ,0
Distribution,0
Description Quiz : Résolution de problème,1
Gérer une production à 3 références,0
Mini-Jeu de la méthode SMED,0
Règles du jeu,1
Parcours pédagogique certifiant Yellow Belt Lean Six Sigma,1
Document de préparation d'une classe virtuelle,1
"Vous venez de découvrir les formations au Lean dédiées aux actions collectives, proposées par Cubik Partners et 7-Shapes.",0
Félicitation !,1
Aucune sauvegarde des données.,0
Logistique,1
Terminée !,1
Sur-processus,1
présente,0
Val. composants en stock,0
Réorganisation des tâches des postes : [IDMACHINE],0
Autres,0
- Succès,0
Ça a donné quoi les changements qu'on a fait dernièrement ? On ne pourrait pas refaire une VSM ?,0
J’attends de la matière première pour travailler… Il faut que l'on augmente la taille de lot de matières premières et annexes.,0
Ça a donné quoi les changements qu'on a fait dernièrement ? On ne pourrait pas refaire une VSM ?,0
J’attends de la matière première pour travailler… Il faut que l'on augmente la taille de lot de matières premières et annexes.,0
"Pour commencer : les jauges de stock !
",0
Vous venez d'apprendre à utiliser l'outil de planification du mix produit. Choisir le bon cycle de changement de série va être très important dans les défis à suivre !,0
"Attention, il reste des croisements dans votre implantation !",0
...faites défiler l'écran vers le bas avec la molette de la souris où en utilisant la barre verticale à droite pour découvrir le graphique du bien-être des employés. ,0
Qualité du dossier,0
La machine d'emboutissage en panne,0
Ah super ! Je vous écoute. ,0
Oui Soan m'a dit ça ! C'est vraiment embêtant cette histoire...,0
"Parfait, on avance.",0
Mettre la production en pause,0
Parcours,0
Durée :,0
Contenu :,0
Création d'une fiche Standard,0
VA (TU),0
FANTASTIQUE ! Un sans faute !,0
Réglages du pistolet,0
"En comparant les résultats avant et après, nous constatons que le gain de temps est conséquent !
Ce poste de travail est maintenent beaucoup plus flexible et ça, c'est un gain pour l'atelier et l'ensemble du flux de production. ",0
Sur-production,0
Licence,0
